"Tabell 4A. Döda 2017 efter underliggande dödsorsak enligt ICD:s detaljlista, kön och ålder. Antal",,,,,,,,,,,,,,,,,,,,,,,
"Deaths 2017 by underlying cause of death (ICD detailed list), sex and age. Number.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Ålder,Ålder,,,,,,,,,,,,,,,,,,,
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-
I69.3,"Sena effekter av cerebral infarkt",Kv,131,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,9,13,22,27,55
,,M,126,-,-,-,-,-,-,-,-,-,-,-,-,2,1,7,10,17,26,30,33
I69.4,"Sena effekter av cerebrovaskulär sjukdom, ej specificerad som blödning eller infarkt",Kv,317,-,-,-,-,-,-,-,-,-,-,-,1,2,3,7,13,22,41,95,133
,,M,320,-,-,-,-,-,1,-,-,-,-,-,-,1,3,10,32,38,69,84,82
I69.8,"Sena effekter av andra och icke specificerade cerebrovaskulära sjukdomar",Kv,130,-,-,-,-,-,-,-,-,-,-,1,-,-,3,1,5,14,14,37,55
,,M,95,-,-,-,-,-,-,-,-,-,-,-,1,-,1,3,13,11,22,16,28
I70–I79,"Sjukdomar i artärer, arterioler (småartärer) och kapillärer",Kv,863,-,-,-,-,-,-,1,-,1,1,6,4,7,32,48,99,93,140,160,271
,,M,861,-,-,-,-,-,-,1,1,2,3,8,15,22,40,61,124,134,145,166,139
I70.0,"Ateroskleros i aorta",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
I70.1,"Ateroskleros i njurartär",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
I70.2,"Ateroskleros i extremitetsartärer",Kv,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,3,5,16
,,M,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,4,4
I70.8,"Ateroskleros i andra specificerade artärer",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
I70.9,"Generaliserad och icke specificerad ateroskleros",Kv,284,-,-,-,-,-,-,-,-,-,-,2,-,-,9,7,12,19,29,57,149
,,M,207,-,-,-,-,-,-,-,-,-,-,-,-,6,7,11,23,31,33,42,54
I71.0,"Dissektion av aorta",Kv,141,-,-,-,-,-,-,-,-,-,1,2,3,5,12,20,22,23,24,18,11
,,M,143,-,-,-,-,-,-,-,1,2,3,6,10,9,16,22,21,13,18,15,7
I71.1,"Torakalt aortaaneurysm, brustet",Kv,25,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,4,4,5,7,2
,,M,25,-,-,-,-,-,-,1,-,-,-,1,1,2,1,3,4,6,2,3,1
I71.2,"Torakalt aortaaneurysm, icke brustet",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-
,,M,10,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,1,3,1,1,-
I71.3,"Bukaortaaneurysm, brustet",Kv,72,-,-,-,-,-,-,-,-,-,-,-,-,-,3,7,12,8,11,17,14
,,M,149,-,-,-,-,-,-,-,-,-,-,-,-,2,5,7,23,25,31,34,22
I71.4,"Bukaortaaneurysm, icke brustet",Kv,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,4
,,M,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,7,7,4,2
I71.5,"Torakoabdominellt aortaaneurysm, brustet",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
I71.6,"Torakoabdominellt aortaaneurysm, icke brustet",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1
I71.8,"Aortaaneurysm med icke specificerad lokalisation, brustet",Kv,83,-,-,-,-,-,-,-,-,-,-,1,-,1,2,2,18,8,30,14,7
,,M,123,-,-,-,-,-,-,-,-,-,-,-,-,1,5,4,23,26,24,23,17
I71.9,"Aortaaneurysm med icke specificerad lokalisation, icke brustet",Kv,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,2,3,6,3
,,M,24,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,5,3,6,4,4
I72.0,"Aneurysm och dissektion i arteria carotis",Kv,4,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
I72.3,"Aneurysm och dissektion i arteria iliaca",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
,,M,13,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,3,1,1,4,2
I72.4,"Aneurysm och dissektion i artär i nedre extremitet",M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-
I72.5,"Aneurysm och dissektion i andra precerebrala artärer",M,4,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,1
I72.6,"Aneurysm och dissektion i arteria vertebralis",Kv,2,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-
I72.8,"Aneurysm och dissektion i andra specificerade artärer",M,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,1,-
I72.9,"Aneurysm och dissektion med icke specificerad lokalisation",Kv,8,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,1,1,-
,,M,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,2,-
I73.9,"Perifer vaskulär sjukdom, ospecificerad",Kv,108,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,8,11,20,24,43
,,M,65,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,6,7,16,12,18
I74.0,"Emboli och trombos i bukaorta",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
I74.1,"Emboli och trombos i andra och icke specificerade delar av aorta",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
I74.3,"Emboli och trombos i nedre extremitetsartärer",Kv,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,5
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-
I74.5,"Emboli och trombos i arteria iliaca",Kv,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,1
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
I74.8,"Emboli och trombos i andra specificerade artärer",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
I74.9,"Emboli och trombos i icke specificerad artär",Kv,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,3
,,M,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,2,2,2
I77.1,Artärstriktur,Kv,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,2,4,8
,,M,11,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,1,1,3,2
I77.2,Artärruptur,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
I77.6,"Arterit, ospecificerad",Kv,14,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,1,3,3,4
,,M,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,3,-
I77.9,"Sjukdom i artärer och arterioler, ospecificerad",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
I80–I89,"Sjukdomar i vener, lymfkärl och lymfkörtlar som ej klassificeras annorstädes",Kv,49,-,-,-,-,-,-,-,-,-,-,1,-,3,1,1,7,9,6,9,12
,,M,40,-,-,-,-,-,-,-,-,2,-,1,1,2,5,4,6,7,1,5,6
I80.1,"Flebit och tromboflebit i vena femoralis",M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-
I80.2,"Flebit och tromboflebit i andra djupa kärl i nedre extremiteterna",Kv,27,-,-,-,-,-,-,-,-,-,-,1,-,3,1,-,5,5,3,4,5
,,M,15,-,-,-,-,-,-,-,-,2,-,-,-,2,1,3,-,2,-,1,4
I80.3,"Flebit och tromboflebit i nedre extremiteterna, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
I80.8,"Flebit och tromboflebit med annan specificerad lokalisation",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
I80.9,"Flebit och tromboflebit med icke specificerad lokalisation",M,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-
I81,"Trombos i portavenen",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,3
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
I82.2,"Emboli och trombos i vena cava",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
I82.8,"Emboli och trombos i andra specificerade vener",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
I82.9,"Venös emboli och trombos i icke specificerad ven",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
I83.0,"Varicer i nedre extremiteterna med bensår",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1
I83.2,"Varicer i nedre extremiteterna med både bensår och inflammation",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
I83.9,"Varicer i nedre extremiteterna utan uppgift om bensår eller inflammation",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
I85.0,"Esofagusvaricer med blödning",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,1,-
I85.9,"Esofagusvaricer utan blödning",M,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
I86.4,"Varicer i magsäcken",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
I87.2,"Venös insufficiens",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1
I89.0,"Lymfödem som ej klassificeras annorstädes",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1
I95–I99,"Andra och icke specificerade sjukdomar i cirkulationsorganen",Kv,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3,5,9
,,M,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,1,2,2
I95.1,"Ortostatisk hypotoni",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
I95.8,"Annan specificerad hypotoni",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
I95.9,"Hypotoni, ospecificerad",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2
I99,"Andra och icke specificerade sjukdomar i cirkulationsorganen",Kv,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,4,7
,,M,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,1,2
"J00 – J99","KAP X. ANDNINGSORGANENS SJUKDOMAR",Kv,3 553,-,-,-,-,-,-,1,1,2,7,14,17,36,76,192,347,500,599,712,1 049
,,M,3 168,-,-,-,1,-,1,3,2,6,6,8,17,36,88,176,353,470,601,690,710
J00–J06,"Akuta infektioner i övre luftvägarna",Kv,11,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,2,1,5
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2
J00,"Akut nasofaryngit (förkylning)",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
J03.9,"Akut tonsillit, ospecificerad",Kv,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
J04.0,"Akut laryngit",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
J06.9,"Akut övre luftvägsinfektion, ospecificerad",Kv,7,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,1,3
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
J09–J18,"Influensa och lunginflammation",Kv,1 178,-,-,-,-,-,-,-,1,2,2,8,4,7,12,18,43,72,133,268,608
,,M,1 100,-,-,-,1,-,-,2,2,1,2,2,5,13,23,42,75,121,164,257,390
J10.0,"Influensa med pneumoni, identifierat säsongsinfluensavirus",Kv,30,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,2,4,2,5,14
,,M,20,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,5,4,6
J10.1,"Influensa med andra respiratoriska manifestationer, identifierat säsongsinfluensavirus",Kv,36,-,-,-,-,-,-,-,-,1,-,1,-,-,-,2,3,4,6,9,10
,,M,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,5,2,7,10
J10.8,"Influensa med andra manifestationer, identifierat säsongsinfluensavirus",M,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
J11.0,"Influensa med pneumoni, virus ej identifierat",Kv,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,4,11,22,34
,,M,83,-,-,-,-,-,-,-,-,-,-,1,1,1,2,4,4,13,13,19,25
J11.1,"Influensa med andra manifestationer i luftvägarna, virus ej identifierat",Kv,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,8,10,20,45
,,M,64,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,4,9,12,12,25
J11.8,"Influensa med andra manifestationer, virus ej identifierat",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
J12.1,"Pneumoni orsakad av respiratoriskt syncytialvirus",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
,,M,7,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,3
J12.9,"Viruspneumoni, ospecificerad",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
J13,"Pneumoni orsakad av Streptococcus pneumoniae",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,3
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2
J14,"Pneumoni orsakad av Haemophilus influenzae",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
J15.0,"Pneumoni orsakad av Klebsiella pneumoniae",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
J15.1,"Pneumoni orsakad av Pseudomonas",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
J15.2,"Pneumoni orsakad av stafylokocker",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-
J15.4,"Pneumoni orsakad av andra streptokocker",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
J15.6,"Pneumoni orsakad av andra gramnegativa bakterier",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
J15.7,"Pneumoni orsakad av Mycoplasma pneumoniae",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
J15.9,"Bakteriell pneumoni, ospecificerad",Kv,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,5,12
,,M,26,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,1,10,8,3
J18.0,"Bronkopneumoni, ospecificerad",Kv,44,-,-,-,-,-,-,-,1,1,1,2,2,1,6,4,7,2,4,6,7
,,M,48,-,-,-,-,-,-,2,1,1,1,1,2,5,5,11,8,5,1,5,-
J18.1,"Lobär pneumoni, ospecificerad",Kv,10,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,3,1,2,-
,,M,15,-,-,-,-,-,-,-,-,-,-,-,1,3,3,1,2,3,-,1,1
J18.2,"Hypostatisk pneumoni, ospecificerad",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3
J18.8,"Annan pneumoni orsakad av icke specificerad mikroorganism",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
J18.9,"Pneumoni, ospecificerad",Kv,851,-,-,-,-,-,-,-,-,-,1,5,1,4,3,8,20,44,93,196,476
,,M,793,-,-,-,-,-,-,-,-,-,1,-,1,4,10,20,49,79,117,198,314
J20–J22,"Andra akuta infektioner i nedre luftvägarna",Kv,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,5,11,16
,,M,34,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,4,3,4,8,11
J20.5,"Akut bronkit orsakad av respiratoriskt syncytialvirus",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
J20.8,"Akut bronkit orsakad av andra specificerade organismer",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
J20.9,"Akut bronkit, ospecificerad",Kv,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,3,6
,,M,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,4,4
J22,"Icke specificerad akut infektion i nedre luftvägarna",Kv,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,6,10
,,M,17,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,1,2,4,6
J30–J39,"Andra sjukdomar i övre luftvägarna",Kv,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,1,1,1
,,M,7,-,-,-,-,-,-,-,-,2,-,-,-,-,1,1,-,-,1,1,1
J32.9,"Kronisk sinuit, ospecificerad",M,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
J38.0,"Förlamning av stämbanden och struphuvudet",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
J38.4,Larynxödem,M,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
J38.5,Laryngospasm,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
J38.7,"Andra specificerade sjukdomar i struphuvudet",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
J39.0,"Retrofaryngeal och parafaryngeal abscess",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
J39.1,"Annan abscess i farynx",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
J39.2,"Andra sjukdomar i farynx",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
J39.8,"Andra specificerade sjukdomar i övre luftvägarna",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-
J40–J47,"Kroniska sjukdomar i nedre luftvägarna",Kv,1 919,-,-,-,-,-,-,-,-,-,2,2,8,25,53,149,261,377,379,350,313
,,M,1 443,-,-,-,-,-,1,1,-,1,4,1,7,13,47,95,200,233,318,308,214
J40,"Bronkit icke specificerad som akut eller kronisk",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
J41.1,"Mukopurulent kronisk bronkit",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
J42,"Icke specificerad kronisk bronkit",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,2,-,1
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-
J43.1,"Panlobulärt emfysem",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
J43.9,"Lungemfysem, ospecificerat",Kv,66,-,-,-,-,-,-,-,-,-,-,-,2,1,11,6,10,21,4,5,6
,,M,94,-,-,-,-,-,-,-,-,-,1,-,-,1,8,13,20,15,14,16,6
J44.0,"Kroniskt obstruktiv lungsjukdom med akut nedre luftvägsinfektion",Kv,374,-,-,-,-,-,-,-,-,-,-,-,2,3,7,26,33,74,72,85,72
,,M,401,-,-,-,-,-,-,-,-,1,-,-,2,4,9,14,49,67,81,97,77
J44.1,"Kroniskt obstruktiv lungsjukdom med akut exacerbation, ospecificerad",Kv,184,-,-,-,-,-,-,-,-,-,-,-,-,2,4,11,34,39,45,31,18
,,M,108,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,21,20,19,24,19
J44.8,"Annan specificerad kroniskt obstruktiv lungsjukdom",Kv,25,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,2,6,5,8
,,M,15,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,2,1,3,4
J44.9,"Kroniskt obstruktiv lungsjukdom, ospecificerad",Kv,1 143,-,-,-,-,-,-,-,-,-,-,1,4,16,27,96,177,227,230,198,167
,,M,764,-,-,-,-,-,-,-,-,-,2,-,4,7,23,58,107,122,196,150,95
J45.0,"Huvudsakligen allergisk astma",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
J45.8,"Blandad astma",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
J45.9,"Astma, ospecificerad",Kv,102,-,-,-,-,-,-,-,-,-,1,1,-,1,3,8,2,10,16,21,39
,,M,46,-,-,-,-,-,1,-,-,-,1,1,1,1,2,1,1,6,3,17,11
J46,"Akut svår astma",Kv,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
,,M,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
J47,"Bronkiektasier (lokala utvidgningar av luftrören)",Kv,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,3,4,-
,,M,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,2,-,-
J60–J70,"Lungsjukdomar av yttre orsaker",Kv,43,-,-,-,-,-,-,-,-,-,1,-,2,1,1,2,3,3,7,4,19
,,M,88,-,-,-,-,-,-,-,-,-,-,-,-,3,2,4,6,8,15,23,27
J60,"Pneumokonios (dammlunga) orsakad av stenkolsdamm",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
J61,"Pneumokonios (dammlunga) orsakad av asbest och andra mineralfibrer",M,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,4,4,1
J62.8,"Pneumokonios orsakad av annat damm som innehåller kisel",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
J63.4,Sideros,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
J67.0,"Hypersensitivitetspneumonit orsakad av inhalerade mögelsporer",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
J67.9,"Hypersensitivitetspneumonit orsakad av organiskt damm, ospecificerat",M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-
J69.0,"Pneumonit orsakad av föda eller uppkräkt maginnehåll",Kv,38,-,-,-,-,-,-,-,-,-,1,-,2,1,1,1,3,1,5,4,19
,,M,66,-,-,-,-,-,-,-,-,-,-,-,-,3,2,2,4,5,8,17,25
J70.2,"Akuta läkemedelsutlösta interstitiella lungsjukdomar",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
J70.3,"Kroniska läkemedelsutlösta interstitiella lungsjukdomar",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
J70.4,"Läkemedelsutlöst interstitiell lungsjukdom, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
J80–J84,"Andra lungsjukdomar som huvudsakligen engagerar interstitiet (lungornas stödjevävnad)",Kv,217,-,-,-,-,-,-,-,-,-,1,2,3,2,8,12,26,30,48,46,39
,,M,361,-,-,-,-,-,-,-,-,2,-,2,2,4,10,25,50,88,75,66,37
J80,"Akut andningssviktsyndrom hos vuxen",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-
,,M,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,1,1,1
J81,Lungödem,Kv,21,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,3,2,6,5
,,M,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,2,5
J82,"Lungeosinofili som ej klassificeras annorstädes",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
J84.0,"Alveolära och parietoalveolära tillstånd",Kv,3,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
J84.1,"Annan interstitiell lungsjukdom med fibros",Kv,175,-,-,-,-,-,-,-,-,-,1,1,2,2,5,9,21,24,41,37,32
,,M,309,-,-,-,-,-,-,-,-,1,-,1,1,4,10,19,44,74,69,58,28
J84.8,"Andra specificerade interstitiella lungsjukdomar",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1
